Step,Time,X,Y,Z,Ex,Ey,Ez
69,69.0000,0.000140,0.063415,0.039150,3.265453e-009,1.680393e-004,8.877611e-006
70,70.0000,0.000140,0.060895,0.039004,3.136212e-009,1.612435e-004,8.845332e-006
71,71.0000,0.000140,0.058478,0.038858,3.011915e-009,1.547225e-004,8.813138e-006
72,72.0000,0.000140,0.056158,0.038713,2.892402e-009,1.484652e-004,8.781029e-006
73,73.0000,0.000140,0.053932,0.038569,2.777510e-009,1.424610e-004,8.749006e-006
74,74.0000,0.000140,0.051796,0.038425,2.667080e-009,1.366996e-004,8.717071e-006
75,75.0000,0.000140,0.049746,0.038282,2.560950e-009,1.311713e-004,8.685225e-006
76,76.0000,0.000140,0.047779,0.038139,2.458965e-009,1.258664e-004,8.653467e-006
77,77.0000,0.000140,0.045892,0.037996,2.360971e-009,1.207762e-004,8.621800e-006
78,78.0000,0.000140,0.044081,0.037855,2.266821e-009,1.158918e-004,8.590223e-006
79,79.0000,0.000140,0.042343,0.037713,2.176370e-009,1.112049e-004,8.558739e-006
80,80.0000,0.000140,0.040676,0.037572,2.089478e-009,1.067075e-004,8.527346e-006
81,81.0000,0.000140,0.039076,0.037432,2.006009e-009,1.023921e-004,8.496047e-006
82,82.0000,0.000140,0.037541,0.037292,1.925833e-009,9.825117e-005,8.464841e-006
83,83.0000,0.000140,0.036068,0.037153,1.848824e-009,9.427771e-005,8.433730e-006
84,84.0000,0.000140,0.034654,0.037015,1.774860e-009,9.046494e-005,8.402713e-006
85,85.0000,0.000140,0.033298,0.036876,1.703823e-009,8.680637e-005,8.371792e-006
86,86.0000,0.000140,0.031996,0.036739,1.635600e-009,8.329576e-005,8.340966e-006
87,87.0000,0.000140,0.030747,0.036601,1.570082e-009,7.992712e-005,8.310236e-006
88,88.0000,0.000140,0.029549,0.036465,1.507164e-009,7.669472e-005,8.279603e-006
89,89.0000,0.000140,0.028399,0.036329,1.446745e-009,7.359304e-005,8.249067e-006
90,90.0000,0.000140,0.027295,0.036193,1.388728e-009,7.061680e-005,8.218628e-006
91,91.0000,0.000140,0.026237,0.036058,1.333018e-009,6.776092e-005,8.188287e-006
